Frame	Tempo (s)	Emoção
316	10.53	happy
317	10.57	happy
318	10.60	happy
319	10.63	happy
320	10.67	happy
321	10.70	happy
322	10.73	happy
323	10.77	happy
324	10.80	happy
325	10.83	happy
326	10.87	happy
327	10.90	happy
327	10.90	neutral
328	10.93	happy
328	10.93	neutral
329	10.97	happy
330	11.00	happy
331	11.03	happy
332	11.07	happy
333	11.10	happy
334	11.13	happy
335	11.17	happy
336	11.20	happy
337	11.23	happy
338	11.27	happy
339	11.30	happy
340	11.33	happy
340	11.33	neutral
341	11.37	happy
341	11.37	neutral
342	11.40	happy
342	11.40	neutral
343	11.43	happy
343	11.43	neutral
344	11.47	happy
344	11.47	neutral
345	11.50	happy
346	11.53	happy
346	11.53	neutral
347	11.57	happy
347	11.57	neutral
348	11.60	happy
349	11.63	happy
350	11.67	happy
351	11.70	happy
352	11.73	happy
353	11.77	happy
354	11.80	happy
355	11.83	happy
356	11.87	happy
357	11.90	happy
358	11.93	happy
359	11.97	happy
360	12.00	fear
361	12.03	fear
362	12.07	fear
363	12.10	fear
364	12.13	fear
365	12.17	fear
366	12.20	fear
367	12.23	fear
368	12.27	fear
369	12.30	fear
370	12.33	fear
371	12.37	fear
372	12.40	fear
373	12.43	fear
374	12.47	fear
375	12.50	fear
376	12.53	fear
377	12.57	fear
378	12.60	fear
379	12.63	fear
380	12.67	fear
381	12.70	neutral
382	12.73	neutral
383	12.77	neutral
384	12.80	neutral
385	12.83	neutral
386	12.87	neutral
387	12.90	neutral
388	12.93	neutral
389	12.97	neutral
390	13.00	neutral
391	13.03	neutral
392	13.07	neutral
393	13.10	neutral
394	13.13	neutral
395	13.17	neutral
396	13.20	neutral
397	13.23	neutral
398	13.27	happy
399	13.30	happy
400	13.33	sad
401	13.37	neutral
402	13.40	happy
403	13.43	neutral
404	13.47	neutral
405	13.50	neutral
406	13.53	neutral
407	13.57	neutral
408	13.60	sad
409	13.63	fear
410	13.67	angry
411	13.70	angry
412	13.73	angry
413	13.77	sad
414	13.80	sad
415	13.83	sad
416	13.87	sad
417	13.90	sad
418	13.93	sad
